PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103164548,5284616,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,Unspecified,,,Potential missing data,Activity,Substrate
2,103164549,445643,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,Unspecified,,,Potential missing data,Activity,Substrate
3,103166970,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,Unspecified,,,Potential missing data,Activity,Substrate
4,103169851,123619,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,Unspecified,,,Potential missing data,Activity,Substrate
5,103172458,53232,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,Unspecified,,,Potential missing data,Activity,Substrate
6,103173995,3114,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,Unspecified,,,Potential missing data,Activity,Substrate
7,103175236,447043,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,Unspecified,,,Potential missing data,Activity,Substrate
8,103175312,12560,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,Unspecified,,,Potential missing data,Activity,Substrate
9,103175665,4615,C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,Unspecified,,,Potential missing data,Activity,Substrate
10,103175813,5329102,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,Unspecified,,,Potential missing data,Activity,Substrate
11,103176949,3022645,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3,Unspecified,,,Potential missing data,Activity,Substrate
12,103177459,176870,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,Unspecified,,,Potential missing data,Activity,Substrate
13,103177753,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,Unspecified,,,Potential missing data,Activity,Substrate
14,103179606,441243,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,Unspecified,,,Potential missing data,Activity,Substrate
15,103179607,5362440,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,Unspecified,,,Potential missing data,Activity,Substrate
16,103179760,65016,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,Unspecified,,,Potential missing data,Activity,Substrate
17,103181342,5583,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC,Unspecified,,,Potential missing data,Activity,Substrate
18,103181781,5405,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,Unspecified,,,Potential missing data,Activity,Substrate
19,103182112,3345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,Potential missing data,Activity,Substrate
20,103188878,51263,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,Unspecified,,,Potential missing data,Activity,Substrate
21,103189071,5556,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,Unspecified,,,Potential missing data,Activity,Substrate
22,103189214,6741,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,Unspecified,,,Potential missing data,Activity,Substrate
23,103189248,4192,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,Unspecified,,,Potential missing data,Activity,Substrate
24,103189284,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Substrate
25,103192563,5991,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,Unspecified,,,Potential missing data,Activity,Substrate
26,103193099,3291,CCC1(CC(=O)NC1=O)C,Unspecified,,,Potential missing data,Activity,Substrate
27,103194712,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Unspecified,,,Potential missing data,Activity,Substrate
28,103194715,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,Unspecified,,,Potential missing data,Activity,Substrate
29,103195252,5002,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,Unspecified,,,Potential missing data,Activity,Substrate
30,103198077,92727,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,Unspecified,,,Potential missing data,Activity,Substrate
31,103199488,3821,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,Unspecified,,,Potential missing data,Activity,Substrate
32,103200464,5734,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,Unspecified,,,Potential missing data,Activity,Substrate
33,103205141,110635,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,Unspecified,,,Potential missing data,Activity,Substrate
34,103207035,2451,CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,Unspecified,,,Potential missing data,Activity,Substrate
35,103209962,55191,CC1(CC(=O)N(C(=O)C1)CCCCN2CCN(CC2)C3=NC=CC=N3)C,Unspecified,,,Potential missing data,Activity,Substrate
36,103210094,2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,Unspecified,,,Potential missing data,Activity,Substrate
37,103215332,6437380,CCCCN(CCCC)CC(C1=CC(=CC\2=C1C3=C(/C2=C/C4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O,Unspecified,,,Potential missing data,Activity,Substrate
38,103220983,3955,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Substrate
39,103224052,2247,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,Unspecified,,,Potential missing data,Activity,Substrate
40,103229487,13342,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Unspecified,,,Potential missing data,Activity,Substrate
41,103230651,5284373,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,Unspecified,,,Potential missing data,Activity,Substrate
42,103234890,5360696,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,Unspecified,,,Potential missing data,Activity,Substrate
43,103235960,1234,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,Unspecified,,,Potential missing data,Activity,Substrate
44,103241637,148195,C1CN(CCC1CC(=O)N2CCC(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,Unspecified,,,Potential missing data,Activity,Substrate
45,103244854,392622,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,Unspecified,,,Potential missing data,Activity,Substrate
46,103244983,123631,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Unspecified,,,Potential missing data,Activity,Substrate
47,103245522,5291,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Unspecified,,,Potential missing data,Activity,Substrate
48,103250420,119584,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N,Unspecified,,,Potential missing data,Activity,Substrate
49,103255183,4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,Unspecified,,,Potential missing data,Activity,Substrate
50,103258758,54677946,CCN(C1=CC=CC=C1)C(=O)C2=C(C3=C(C=CC=C3Cl)N(C2=O)C)O,Unspecified,,,Potential missing data,Activity,Substrate
51,103266539,3191,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Substrate
52,103274364,82146,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,Unspecified,,,Potential missing data,Activity,Substrate
53,103276854,60648,CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C,Unspecified,,,Potential missing data,Activity,Substrate
54,103292372,54454,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,Unspecified,,,Potential missing data,Activity,Substrate
55,103293640,2747,C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Substrate
56,103298456,153999,CN(C)C[C@@H]1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O,Unspecified,,,Potential missing data,Activity,Substrate
57,103305814,37393,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O,Unspecified,,,Potential missing data,Activity,Substrate
58,103323138,3002190,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,Unspecified,,,Potential missing data,Activity,Substrate
59,103338073,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,Unspecified,,,Potential missing data,Activity,Substrate
60,103338617,6230,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,Unspecified,,,Potential missing data,Activity,Substrate
61,103338831,148192,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
62,103376533,4634,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,Unspecified,,,Potential missing data,Activity,Substrate
63,103389223,5152,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,Unspecified,,,Potential missing data,Activity,Substrate
64,103393180,5352062,C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,Unspecified,,,Potential missing data,Activity,Substrate
65,103401109,441074,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,Unspecified,,,Potential missing data,Activity,Substrate
66,103401549,3034034,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,Unspecified,,,Potential missing data,Activity,Substrate
67,103455384,5281004,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,Unspecified,,,Potential missing data,Activity,Substrate
68,103461653,1783,CC(C)C1=C(N(C(=N1)COC(=O)N)CC2=CC=NC=C2)SC3=CC(=CC(=C3)Cl)Cl,Unspecified,,,Potential missing data,Activity,Substrate
69,103469393,10631,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C,Unspecified,,,Potential missing data,Activity,Substrate
70,103498411,5210,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C,Unspecified,,,Potential missing data,Activity,Substrate
71,103503415,16362,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Unspecified,,,Potential missing data,Activity,Substrate
72,103503975,3151,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,Unspecified,,,Potential missing data,Activity,Substrate
73,103504457,4497,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,Unspecified,,,Potential missing data,Activity,Substrate
74,103511444,54682461,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Substrate
75,103535182,135415564,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)/C,Unspecified,,,Potential missing data,Activity,Substrate
76,103537416,135413536,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Unspecified,,,Potential missing data,Activity,Substrate
77,103543150,3333,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,Unspecified,,,Potential missing data,Activity,Substrate
78,103545241,4474,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
79,103548420,135398744,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,Unspecified,,,Potential missing data,Activity,Substrate
80,103554720,60823,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Substrate
81,103555967,5502,CCC1C(=NN=C(C2=CC(=C(C=C12)OC)OC)C3=CC(=C(C=C3)OC)OC)C,Unspecified,,,Potential missing data,Activity,Substrate
82,103556348,446157,CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,Unspecified,,,Potential missing data,Activity,Substrate
83,103557046,4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
84,103558413,77993,CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Substrate
85,103558447,15130,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,Unspecified,,,Potential missing data,Activity,Substrate
86,103558698,135400189,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,Unspecified,,,Potential missing data,Activity,Substrate
87,103589735,4507,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,Unspecified,,,Potential missing data,Activity,Substrate
88,103620962,3784,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
89,103680984,4499,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
90,103696081,84029,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Unspecified,,,Potential missing data,Activity,Substrate
91,103724173,60606,COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,Unspecified,,,Potential missing data,Activity,Substrate
92,103752013,443872,C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
93,103752013,443872,C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
94,103752947,6436048,CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/C2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
95,103770952,6918296,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CC[C@@H]5[C@@]3(C=CC(=O)N5)C,Unspecified,,,Potential missing data,Activity,Substrate
96,103771190,5311101,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)O)C)O)F)C)F,Unspecified,,,Potential missing data,Activity,Substrate
97,104234148,8223,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,Unspecified,,,Potential missing data,Activity,Substrate
98,104234228,6013,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,Unspecified,,,Potential missing data,Activity,Substrate
99,104234229,5743,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,Unspecified,,,Potential missing data,Activity,Substrate
100,104234246,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,Unspecified,,,Potential missing data,Activity,Substrate
101,104239756,3033968,CC[C@]12CC[C@H]3[C@H]([C@@H]1C=C[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,Unspecified,,,Potential missing data,Activity,Substrate
102,123086577,55245,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,Unspecified,,,Potential missing data,Activity,Substrate
103,123090165,2769,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,Unspecified,,,Potential missing data,Activity,Substrate
104,123094713,446598,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl,Unspecified,,,Potential missing data,Activity,Substrate
105,124958489,104903,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3=CC[C@@]2([C@H]1C(=O)CN5CCN(CC5)C6=NC(=NC(=C6)N7CCCC7)N8CCCC8)C)C,Unspecified,,,Potential missing data,Activity,Substrate
106,124963825,3510,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,Unspecified,,,Potential missing data,Activity,Substrate
107,131273438,54580717,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)CC[Si](C)(C)C)O,Unspecified,,,Potential missing data,Activity,Substrate
108,131275419,4177,CC1COC2(N1CC(=O)NC3=C2C=C(C=C3)Cl)C4=CC=CC=C4Cl,Unspecified,,,Potential missing data,Activity,Substrate
109,131275787,115368,C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54,Unspecified,,,Potential missing data,Activity,Substrate
110,131277421,40589,CCC1=NN(C(=O)N1CC)CCCN2CCN(CC2)C3=CC(=CC=C3)Cl,Unspecified,,,Potential missing data,Activity,Substrate
111,131285467,54586579,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,Unspecified,,,Potential missing data,Activity,Substrate
112,131285468,114948,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@@H]4C[C@H]5[C@@H](CC6=CNC7=CC=CC5=C67)N(C4)C)O,Unspecified,,,Potential missing data,Activity,Substrate
113,134453344,68911,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC)C,Unspecified,,,Potential missing data,Activity,Substrate
114,136929859,6442177,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,Unspecified,,,Potential missing data,Activity,Substrate
115,160677133,5978,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Unspecified,,,Potential missing data,Activity,Substrate
116,160681707,443869,CC1=C([C@@H](C(=C(N1)C)C(=O)O[C@H]2CCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
117,163312394,5311497,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,Unspecified,,,Potential missing data,Activity,Substrate
118,194134279,3793,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,Unspecified,,,Potential missing data,Activity,Substrate
119,312468102,148123,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O.O.O.O,Unspecified,,,Potential missing data,Activity,Substrate
